"id","id_produk","nama_jamu","satuan","harga","deskripsi","manfaat1","manfaat2","manfaat3","foto","api_wa","link_wa","link_marketplace","id_kategori","created_at","updated_at","created_by","updated_by"
"6","JM002","Beras Kencur","Pack","25000","Jamu adalah obat tradisional Indonesia yang terbuat dari campuran bahan-bahan alami seperti akar, daun, bunga, dan buah. Jamu telah digunakan selama berabad-abad sebagai obat alami untuk berbagai kondisi kesehatan, dan menjadi bagian dari budaya Indonesia.","Meningkatkan daya tahan tubuh","Menjaga kesehatan organ tubuh","Meningkatkan sistem pencernaan","JM002.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Beras+Kencur+%0AJumlah+Pesanan%3A...+Pack+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++","https://shopee.co.id/Sido-Muncul-Beras-Kencur-5's-Minuman-Tradisional-Kesehatan-i.139447146.2103865291?sp_atk=f657df70-764e-4883-8a50-2b9b83e3c15c&xptdk=f657df70-764e-4883-8a50-2b9b83e3c15c","1","2023-09-01 22:20:57",NULL,"1",NULL
"10","JM003","Buyung Upi","Pcs","10000","Buyung Upi is The Best","Meningkatkan daya tahan tubuh","Menjaga kesehatan organ tubuh","Meningkatkan sistem pencernaan","JM003.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Buyung+Upi+%0AJumlah+Pesanan%3A...+Pcs+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++","https://shopee.co.id/Sido-Muncul-Beras-Kencur-5's-Minuman-Tradisional-Kesehatan-i.139447146.2103865291?sp_atk=f657df70-764e-4883-8a50-2b9b83e3c15c&xptdk=f657df70-764e-4883-8a50-2b9b83e3c15c","1",NULL,"2023-09-28 21:13:43",NULL,"1"
"12","JM005","Kunyit Asem","Pcs","15000","Jamu kunyit asam merupakan minuman tradisional khas Indonesia yang diolah dari percampuran kunyit dan asam jawa. Kombinasi kunyit yang terkenal dengan kandungan kurkumin dan asam jawa yang kaya mineral penting, seperti magnesium, menjadikan jamu kunyit asam memiliki banyak manfaat untuk kesehatan.","Menurunkan kadar kolesterol jahat","Memperbaiki suasana perasaan","Meningkatkan daya tahan tubuh","JM005.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Kunyit+Asem+%0AJumlah+Pesanan%3A...+Pcs+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++",NULL,"1",NULL,"2023-09-26 13:45:11",NULL,"1"
"13","JM006","Kunci Suruh","Pcs","15000","Jamu kunci suruh dibuat dengan komposisi utama yang terdiri dari rimpang temu kunci dan daun sirih. Jamu ini secara umum di masyarakat digunakan untuk melancarkan ASI dan mengatasi keputihan pada wanita","Merapatkan bagian intim","Menghilangkan bau badan","Mengecilkan rahim","JM006.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Kunci+Suruh+%0AJumlah+Pesanan%3A...+Pcs+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++",NULL,"1",NULL,"2023-09-26 13:02:36",NULL,"1"
"14","JM007","Kudu Laos","Pack","15000","Jamu Kudu Laos merupakan campuran dari beberapa bahan alami seperti kunyit, temulawak, jahe, kencur, dan rempah-rempah lainnya. Jamu ini telah digunakan secara turun temurun sebagai minuman herbal tradisional untuk meningkatkan kesehatan dan kebugaran.","Menyegarkan tubuh: Jamu Kudu Laos dapat memberikan efek penyegaran pada tubuh. Minuman ini dapat memberikan rasa segar dan energi setelah mengonsumsinya.","Meningkatkan pencernaan: Kandungan rempah-rempah dalam Jamu Kudu Laos dapat membantu meningkatkan fungsi pencernaan dan mengurangi masalah pencernaan seperti ","Meredakan nyeri sendi: Beberapa bahan dalam Jamu Kudu Laos memiliki sifat antiinflamasi yang dapat membantu meredakan nyeri pada sendi dan otot.","JM007.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Kudu+Laos+%0AJumlah+Pesanan%3A...+Pack+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++",NULL,"2",NULL,"2023-09-26 13:02:49",NULL,"1"
"15","JM008","Jamu Uyup-Uyup","Pcs","15000","Jamu Uyup-uyup terbuat dari campuran bahan alami seperti kunyit, temulawak, jahe, kayu manis, lada hitam, dan bahan-bahan herbal lainnya. Jamu ini biasanya dikonsumsi dalam bentuk minuman hangat. Uyup-uyup sendiri memiliki arti ""bersih"" atau ""sehat"" dalam bahasa Jawa, menggambarkan manfaat kesehatan yang dikaitkan dengan minuman ini.","Detoksifikasi: Jamu Uyup-uyup juga memiliki efek detoksifikasi pada tubuh. Minuman ini dapat membantu membersihkan racun dalam tubuh dan meningkatkan fungsi organ hati sebagai filter alami tubuh.","Menjaga kesehatan kulit: Kandungan antioksidan dalam jamu ini dapat membantu menjaga kesehatan kulit dan melawan tanda-tanda penuaan seperti kerutan dan bintik-bintik penuaan.","Meningkatkan sistem kekebalan tubuh: Bahan-bahan alami dalam Jamu Uyup-uyup dapat membantu meningkatkan sistem kekebalan tubuh, menjaga tubuh tetap sehat dan melawan infeksi.","JM008.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Jamu+Uyup-Uyup+%0AJumlah+Pesanan%3A...+Pcs+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++",NULL,"2",NULL,"2023-09-26 13:03:07",NULL,"1"
"16","JM009","Jamu Sinom","Pcs","15000","Jamu Sinom adalah minuman tradisional yang terbuat dari campuran bahan-bahan alami seperti asam jawa, jahe, daun pandan, serai, gula aren, dan air. Minuman ini memiliki rasa segar dan asam yang khas. Jamu Sinom biasanya dikonsumsi dalam keadaan hangat atau dingin.","Menurunkan demam: Jamu Sinom juga memiliki efek penurun demam. Kandungan bahan-bahan alami seperti daun pandan dan serai memiliki sifat penurun panas yang dapat membantu mengatasi demam ringan.","Menjaga kesehatan saluran kemih: Jamu Sinom juga dapat bermanfaat bagi kesehatan saluran kemih. Kandungan asam jawa dalam jamu ini dapat membantu mengurangi risiko infeksi saluran kemih dan memperbaiki fungsi ginjal.","Meredakan gangguan pencernaan: Kandungan asam jawa dalam Jamu Sinom dapat membantu meredakan gangguan pencernaan seperti mual, perut kembung, dan muntah-muntah.","JM009.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Jamu+Sinom+%0AJumlah+Pesanan%3A...+Pcs+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++",NULL,"3",NULL,"2023-09-26 13:03:19",NULL,"1"
"17","JM010","Jamu Wedang Secang","Pcs","15000","Jamu Wedang Secang adalah minuman herbal yang terbuat dari ekstrak akar secang (Caesalpinia sappan) dan bahan-bahan alami lainnya seperti jahe, serai, kayu manis, gula merah, dan air. Minuman ini memiliki rasa hangat dan kaya rempah, dengan warna merah khas yang berasal dari ekstrak akar secang.","Menenangkan pikiran dan tubuh: Jamu Wedang Secang juga memiliki efek menenangkan pada pikiran dan tubuh. Rasa hangat dan rempah-rempah yang kaya memberikan sensasi relaksasi dan mengurangi stres.","Meningkatkan energi dan stamina: Beberapa bahan alami yang terkandung dalam jamu ini, seperti jahe, dapat membantu meningkatkan energi dan stamina tubuh. Hal ini dapat membantu mengatasi kelelahan dan meningkatkan daya tahan tubuh.","Menyegarkan dan menghangatkan tubuh: Kandungan jahe, serai, dan kayu manis dalam Jamu Wedang Secang memberikan efek menyegarkan dan menghangatkan tubuh. ","JM010.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Jamu+Wedang+Secang+%0AJumlah+Pesanan%3A...+Pcs+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++",NULL,"3",NULL,"2023-09-26 13:03:38",NULL,"1"
"19","JM011","Jamu Wedang Jahe","Pcs","20000","Jamu Wedang Jahe adalah minuman herbal yang terbuat dari jahe segar, rempah-rempah, dan bahan-bahan alami lainnya seperti serai, daun pandan, gula merah, dan air. Minuman ini memiliki rasa hangat dan aromatik yang khas dari jahe, dengan sentuhan manis dari gula merah.","Efek relaksasi dan penenang: Selain manfaat fisik, Jamu Wedang Jahe juga dapat memberikan efek relaksasi dan penenang. Aroma jahe yang harum dan hangat dapat membantu meredakan stres, meningkatkan suasana hati, dan memberikan rasa tenang pada tubuh dan pikiran.","Menghangatkan tubuh: Jamu Wedang Jahe memiliki sifat yang dapat membantu menghangatkan tubuh, terutama saat cuaca dingin atau ketika merasa kedinginan. ","Membantu meredakan pilek dan flu: Kandungan antiinflamasi dalam jahe dapat membantu meredakan gejala pilek dan flu seperti hidung tersumbat, batuk, dan sakit tenggorokan. Jahe juga memiliki sifat ekspektoran yang dapat membantu melonggarkan lendir dan meredakan gejala pernapasan.","JM011.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Jamu+Wedang+Jahe+%0AJumlah+Pesanan%3A...+Pcs+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++",NULL,"3",NULL,"2023-09-26 13:04:23",NULL,"1"
"42","JM013","Jamu Cabai Puyang","Pcs","150000","Jamu cabe puyang merupakan salah satu jenis ramuan herbal yang disebut sebagai rahasia raja-raja jawa. Disebut demikian karena ramuan ini memiliki khasiat untuk menjaga vitalitas.","Baik untuk peredaran darah","Baik untuk menambah stamina","Baik untuk menjaga vitalitas bagi kaum pria","JM013.webp","https://wa.me/","?text=Nama+Lengkap%3A+%0ANomor+Telepon%3A+%0AKecamatan%3A+%0AKota%3A+%0AProvinsi%3A+%0AAlamat+Lengkap%3A+%0AKode+Pos%3A+%0ANama+Produk%3A+Jamu+Cabai+Puyang+%0AJumlah+Pesanan%3A...+Pcs+++%0AMetode+Pembayaran%28Cash+on+Delivery%2C+BCA%2C+GoPay%2C+Dana%29%3A++","ss","1","2023-09-26 12:37:24","2023-10-06 14:45:20","1","1"
